mid,sid,pid,ustatus,score,astatus
1846929,13742,9705,NULL,9.808000,New
1846896,13742,9502,NULL,9.808000,New
1846895,13742,9501,NULL,9.808000,New
1846894,13742,9500,NULL,9.808000,New
1846893,13742,9499,NULL,9.808000,New
1846889,13742,9491,NULL,9.808000,New
1846886,13742,9480,NULL,9.808000,New
1846862,13742,9419,NULL,9.808000,New
1846391,13741,9813,NULL,9.808000,New
1846376,13741,9705,NULL,9.808000,New
1846354,13741,9502,NULL,9.808000,New
1846353,13741,9501,NULL,9.808000,New
1846352,13741,9500,NULL,9.808000,New
1846351,13741,9499,NULL,9.808000,New
1846347,13741,9491,NULL,9.808000,New
1846344,13741,9480,NULL,9.808000,New
1846326,13741,9419,NULL,9.808000,New
1845903,13740,9813,NULL,9.825000,New
1845881,13740,9552,NULL,9.825000,New
1845875,13740,9491,NULL,9.825000,New
1845872,13740,9480,NULL,9.825000,New
1845862,13740,9419,NULL,9.825000,New
1845524,13739,9458,NULL,9.808000,New
1845215,13738,9705,NULL,9.825000,New
1845202,13738,9502,NULL,9.825000,New
1845201,13738,9501,NULL,9.825000,New
1845200,13738,9500,NULL,9.825000,New
1845199,13738,9499,NULL,9.825000,New
1845182,13738,9383,NULL,9.825000,New
1844626,13766,9349,NULL,10.000000,New
1844625,13766,9327,NULL,10.000000,New
1843975,13680,9705,NULL,9.825000,New
1843966,13680,9502,NULL,9.825000,New
1843965,13680,9501,NULL,9.825000,New
1843964,13680,9500,NULL,9.825000,New
1843963,13680,9499,NULL,9.825000,New
1843653,13686,9813,NULL,9.825000,New
1843637,13686,9705,NULL,9.825000,New
1843619,13686,9552,NULL,9.825000,New
1843612,13686,9502,NULL,9.825000,New
1843611,13686,9501,NULL,9.825000,New
1843610,13686,9500,NULL,9.825000,New
1843609,13686,9499,NULL,9.825000,New
1843605,13686,9491,NULL,9.825000,New
1843602,13686,9480,NULL,9.825000,New
1843583,13686,9419,NULL,9.825000,New
1843133,13687,9784,NULL,9.808000,New
1843124,13687,9594,NULL,9.800000,New
1843114,13687,9394,NULL,9.808000,New
1843113,13687,9362,NULL,9.808000,New
1842899,13696,9597,Introduced,9.818000,Approved
1842868,13696,9368,NULL,9.825000,New
1842867,13696,9357,NULL,9.825000,New
1842866,13696,9344,NULL,9.825000,New
1842261,13760,9492,NULL,10.000000,New
1842256,13760,9405,NULL,10.000000,New
1842182,13716,9750,NULL,9.808000,New
1842169,13716,9395,NULL,9.808000,New
1842168,13716,9393,NULL,9.808000,New
1842166,13716,9391,NULL,9.808000,New
1841933,13718,9383,NULL,9.808000,New
1841794,13719,9383,NULL,9.808000,New
1841662,13729,9794,NULL,9.825000,New
1841522,13731,9714,NULL,9.825000,New
1841514,13731,9596,NULL,9.818000,New
1841495,13731,9402,NULL,9.818000,New
1841279,13732,9705,NULL,9.825000,New
1841271,13732,9502,NULL,9.825000,New
1841270,13732,9501,NULL,9.825000,New
1841269,13732,9500,NULL,9.825000,New
1841268,13732,9499,NULL,9.825000,New
1840424,13697,9502,NULL,9.825000,New
1840422,13697,9500,NULL,9.825000,New
1840114,13698,9597,NULL,9.818000,New
1840103,13698,9368,NULL,9.825000,Approved
1839453,13759,9594,NULL,10.000000,New
1839447,13759,9362,NULL,10.000000,New
1839446,13759,9349,NULL,10.000000,Approved
1839444,13759,9327,NULL,10.000000,New
1839373,13743,9670,NULL,10.000000,New
1839368,13743,9645,NULL,10.000000,New
1839362,13743,9599,NULL,10.000000,New
1839361,13743,9598,NULL,10.000000,New
1839360,13743,9597,NULL,10.000000,New
1839359,13743,9596,NULL,10.000000,New
1839358,13743,9595,NULL,10.000000,New
1839357,13743,9594,NULL,10.000000,New
1839349,13743,9516,NULL,10.000000,New
1839347,13743,9499,NULL,10.000000,New
1839346,13743,9487,NULL,10.000000,New
1839341,13743,9457,NULL,10.000000,New
1839340,13743,9453,NULL,10.000000,New
1839339,13743,9452,NULL,10.000000,Approved
1839330,13743,9344,NULL,10.000000,New
1838656,13700,9814,NULL,9.825000,Approved
1836514,13701,9645,NULL,9.825000,New
1836510,13701,9599,NULL,9.818000,New
1836509,13701,9598,NULL,9.818000,New
1836508,13701,9597,NULL,9.818000,New
1836507,13701,9596,NULL,9.818000,New
1836506,13701,9595,NULL,9.818000,New
1836505,13701,9594,NULL,9.818000,New
1836499,13701,9516,NULL,9.818000,New
1836497,13701,9487,NULL,9.825000,New
1836492,13701,9457,NULL,9.818000,New
1836491,13701,9453,NULL,9.825000,New
1836490,13701,9452,NULL,9.825000,New
1836486,13701,9344,NULL,9.825000,New
1836211,13702,9599,NULL,9.818000,New
1836210,13702,9598,NULL,9.818000,New
1836209,13702,9597,NULL,9.818000,New
1836208,13702,9596,NULL,9.818000,New
1836207,13702,9595,NULL,9.818000,New
1836206,13702,9594,NULL,9.818000,New
1836200,13702,9516,NULL,9.818000,New
1836198,13702,9487,NULL,9.825000,New
1836192,13702,9453,NULL,9.825000,New
1836187,13702,9344,NULL,9.825000,New
1835926,13703,9594,NULL,9.800000,New
1835917,13703,9394,NULL,9.808000,New
1835916,13703,9362,NULL,9.808000,New
1835914,13703,9327,NULL,9.808000,New
1835737,13762,9813,NULL,10.000000,New
1835728,13762,9714,NULL,10.000000,New
1835721,13762,9596,NULL,10.000000,New
1835710,13762,9492,NULL,10.000000,New
1835709,13762,9491,NULL,10.000000,New
1835706,13762,9480,NULL,10.000000,New
1835702,13762,9457,NULL,10.000000,New
1835696,13762,9419,NULL,10.000000,New
1835047,13705,9599,NULL,9.800000,New
1835042,13705,9502,NULL,9.808000,New
1835033,13705,9389,NULL,9.808000,New
1835032,13705,9387,NULL,9.808000,New
1835031,13705,9386,NULL,9.808000,New
1835030,13705,9369,NULL,9.808000,New
1834773,13656,9714,NULL,9.808000,New
1834761,13656,9596,NULL,9.800000,New
1834748,13656,9502,NULL,9.808000,New
1834747,13656,9501,NULL,9.808000,New
1834746,13656,9500,NULL,9.808000,New
1834745,13656,9499,NULL,9.808000,New
1834742,13656,9492,NULL,9.808000,New
1834295,13655,9813,NULL,9.825000,New
1834249,13655,9491,NULL,9.825000,New
1834229,13655,9419,NULL,9.825000,New
1833827,13761,9492,NULL,10.000000,New
1833819,13761,9457,NULL,10.000000,New
1833434,13675,9881,NULL,10.000000,New
1833422,13675,9714,NULL,10.000000,New
1833415,13675,9596,NULL,10.000000,New
1833404,13675,9492,NULL,10.000000,New
1833400,13675,9480,NULL,10.000000,New
1833396,13675,9457,NULL,10.000000,New
1833077,13756,9598,NULL,9.800000,New
1833071,13756,9398,NULL,9.808000,New
1832903,13665,9705,NULL,9.825000,New
1832899,13665,9670,NULL,9.825000,New
1832896,13665,9645,NULL,9.825000,New
1832892,13665,9599,NULL,9.818000,New
1832891,13665,9598,NULL,9.818000,New
1832890,13665,9597,NULL,9.818000,New
1832889,13665,9596,NULL,9.818000,New
1832888,13665,9595,NULL,9.818000,New
1832887,13665,9594,NULL,9.818000,New
1832882,13665,9516,NULL,9.818000,New
1832880,13665,9501,NULL,9.825000,New
1832879,13665,9500,NULL,9.825000,New
1832878,13665,9499,NULL,9.825000,New
1832423,13668,9813,NULL,9.808000,New
1832385,13668,9502,NULL,9.808000,New
1832384,13668,9501,NULL,9.808000,New
1832383,13668,9500,NULL,9.808000,New
1832382,13668,9499,NULL,9.808000,New
1832378,13668,9491,NULL,9.808000,New
1832357,13668,9419,NULL,9.808000,New
1831935,13669,9856,NULL,9.808000,New
1831933,13669,9812,NULL,9.808000,New
1831926,13669,9729,NULL,9.808000,New
1831924,13669,9706,NULL,9.808000,New
1831911,13669,9592,NULL,9.808000,New
1831905,13669,9500,NULL,9.808000,New
1831904,13669,9492,NULL,9.808000,New
1831892,13669,9378,NULL,9.808000,New
1831891,13669,9377,NULL,9.808000,New
1831530,13653,9502,NULL,9.825000,New
1831529,13653,9501,NULL,9.825000,New
1831528,13653,9500,NULL,9.825000,New
1831527,13653,9499,NULL,9.825000,New
1831206,13650,9705,NULL,9.825000,New
1831200,13650,9670,NULL,9.825000,New
1831195,13650,9645,NULL,9.825000,New
1831174,13650,9502,NULL,9.825000,New
1831173,13650,9501,NULL,9.825000,New
1831172,13650,9500,NULL,9.825000,New
1831171,13650,9499,NULL,9.825000,New
1831159,13650,9452,NULL,9.825000,New
1830709,13607,9384,NULL,9.808000,New
1830416,13606,9598,NULL,9.818000,New
1830113,13605,9881,NULL,9.808000,New
1830110,13605,9714,NULL,9.808000,New
1830103,13605,9492,NULL,9.808000,New
1830100,13605,9405,NULL,9.808000,New
1830021,13604,9812,NULL,9.808000,New
1830020,13604,9810,NULL,9.808000,New
1830015,13604,9729,NULL,9.808000,New
1830013,13604,9706,NULL,9.808000,New
1830008,13604,9648,NULL,9.800000,Approved
1829998,13604,9492,NULL,9.808000,New
1829990,13604,9367,NULL,9.808000,New
1828515,13694,9812,NULL,9.825000,New
1828510,13694,9729,NULL,9.825000,New
1828496,13694,9492,NULL,9.825000,New
1828199,13693,9714,NULL,9.825000,New
1828188,13693,9492,NULL,9.825000,New
1828184,13693,9427,NULL,9.825000,New
1828181,13693,9383,NULL,9.825000,New
1827986,13692,9708,NULL,9.808000,New
1827962,13692,9419,NULL,9.808000,New
1827660,13726,9740,NULL,10.000000,Approved
1827641,13726,9349,NULL,10.000000,Approved
1827477,13691,9705,NULL,9.825000,New
1827468,13691,9502,NULL,9.825000,New
1827467,13691,9501,NULL,9.825000,New
1827466,13691,9500,NULL,9.825000,New
1827465,13691,9499,NULL,9.825000,New
1826565,13689,9708,NULL,9.825000,New
1826560,13689,9534,NULL,9.825000,New
1826559,13689,9510,NULL,9.825000,New
1826558,13689,9491,NULL,9.825000,New
1826545,13689,9389,NULL,9.825000,New
1826544,13689,9387,NULL,9.825000,New
1826543,13689,9386,NULL,9.825000,New
1826005,13688,9552,NULL,9.825000,New
1826001,13688,9492,NULL,9.825000,New
1826000,13688,9480,NULL,9.825000,New
1825997,13688,9457,NULL,9.818000,New
1825850,13737,9598,NULL,10.000000,New
1825848,13737,9561,NULL,10.000000,New
1825844,13737,9398,NULL,10.000000,New
1825674,13736,9714,NULL,10.000000,New
1825666,13736,9596,NULL,10.000000,New
1825660,13736,9552,NULL,10.000000,New
1825657,13736,9510,NULL,10.000000,New
1825654,13736,9492,NULL,10.000000,New
1825650,13736,9480,NULL,10.000000,New
1825645,13736,9457,NULL,10.000000,New
1823290,13621,9492,NULL,10.000000,New
1822952,13721,9810,NULL,10.000000,New
1822943,13721,9714,NULL,10.000000,New
1822929,13721,9480,NULL,10.000000,New
1820355,13721,9765,NULL,10.000000,New
1820334,13721,9492,NULL,10.000000,New
1820333,13721,9476,NULL,10.000000,New
