keyid,name,secid,sub_secid
13111,soybean farming,6565,6673
13110,cotton farming,6565,6673
13109,support activities for forestry,6565,6673
13108,sugar beet farming,6565,6673
13107,oilseed  farming,6565,6673
13106,oilseed and grain combination farming,6565,6673
13105,citrus  groves,6565,6673
13104,dry pea and bean farming,6565,6673
13103,sheep farming,6565,6674
13102,shellfish fishing,6565,6674
13101,finfish farming and fish hatcheries,6565,6674
13100,broilers,6565,6674
13099,fur-bearing animal and rabbit production,6565,6674
13098,dairy cattle and milk production,6565,6674
13097,dual-purpose cattle ranching and farming,6565,6674
13096,support activities for animal production,6565,6674
13095,turkey production,6565,6674
13093,shellfish farming,6565,6674
13092,chicken egg production,6565,6674
13091,hunting and trapping,6565,6674
13090,finfish fishing,6565,6674
13089,goat farming,6565,6674
13088,hog and pig farming,6565,6674
13086,beef cattle ranching and farming,6565,6674
13085,apiculture,6565,6675
13084,electrical apparatus and equipment| wiring supplies| and related equipment merchant wholesalers,6563,6658
13083,electronics stores,6563,6658
13082,business to business electronic markets,6563,6658
13081,men's clothing stores,6563,6657
13080,optical goods stores,6563,6657
13079,children's and infants' clothing stores,6563,6657
13078,clothing accessories stores,6563,6657
13077,shoe stores,6563,6657
13076,women's clothing stores,6563,6657
13075,sporting goods stores,6563,6657
13074,family clothing stores,6563,6657
13073,luggage and leather goods stores,6563,6657
13072,jewelry stores,6563,6657
13071,home furnishing merchant wholesalers,6563,6659
13067,tire and tube merchant wholesalers,6563,6661
13066,motorcycle| atv,6563,6661
13060,motor vehicle supplies and new parts merchant wholesalers,6563,6661
13058,automobile,6563,6661
13057,motor vehicle parts  merchant wholesalers,6563,6661
13056,cosmetics| beauty supplies| and perfume stores,6564,6664
13055,pharmacies and drug stores,6564,6664
13053,educational support services,6561,6641
13052,administration of education programs,6561,6641
13051,fine arts schools,6561,6641
13049,automobile driving schools,6561,6641
13048,computer training,6561,6641
13046,colleges| universities| and professional schools,6561,6641
13044,cosmetology and barber schools,6561,6641
13043,junior colleges,6561,6641
13040,business and secretarial schools,6561,6641
13038,bowling centers,6562,6647
13037,historical sites,6562,6647
13036,rooming and boarding houses,6562,6647
13035,nature parks,6562,6647
13034,caterers,6562,6647
13033,fitness and recreational sports centers,6562,6647
13032,promoters of performing arts| sports| and similar events with facilities,6562,6647
13031,independent artists| writers| and performers,6562,6647
13030,mobile food services,6562,6647
13029,food service contractors,6562,6647
13028,marinas,6562,6647
13027,amusement and theme parks,6562,6647
13026,museums,6562,6647
13025,promoters of performing arts| sports| and similar events without facilities,6562,6647
13024,skiing facilities,6562,6647
13023,full-service restaurants,6562,6647
13022,amusement arcades,6562,6647
13021,racetracks,6562,6647
13020,sports teams and clubs,6562,6647
13019,dance companies,6562,6647
13018,casino hotels,6562,6647
13017,recreational and vacation camps,6562,6647
13016,musical groups and artists,6562,6647
13015,golf courses and country clubs,6562,6647
13014,rv  parks and campgrounds,6562,6647
13013,theater companies and dinner theaters,6562,6647
13012,agents and managers for artists| athletes| entertainers,6562,6647
13011,bed-and-breakfast inns,6562,6647
13010,drinking places,6562,6647
13009,casinos,6562,6647
13008,zoos and botanical gardens,6562,6647
13007,limited-service restaurants,6562,6647
13006,cafeterias| grill buffets| and buffets,6562,6647
13005,snack and nonalcoholic beverage bars,6562,6647
13004,directory and mailing list publishers,6562,6648
13003,greeting card publishers,6562,6648
13002,software publishers,6562,6648
13001,book publishers  book publishing,6562,6648
13000,radio stations  radio broadcasting stations,6562,6645
12999,radio networks  radio broadcasting stations,6562,6645
12998,television broadcasting television broadcasting stations,6562,6645
12997,cable,6562,6646
12996,narrow fabric mills and schiffli machine embroidery,6560,6634
12995,men’s and boys’ cut and sew apparel manufacturing,6560,6634
12994,nonwoven fabric mills,6560,6634
12993,textile bag and canvas mills,6560,6634
12992,cut and sew apparel contractors,6560,6634
